company,location,rocket,mission_status,launch_date,failure,launch_year,launch_decade,rocket_failure_rate,rocket_launch_count,org_failure_rate,past_failure_rate,company_enc,location_enc,rocket_enc
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1957-10-04 19:28:00+00:00,0,1957.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.0,40,83,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1957-11-03 02:30:00+00:00,0,1957.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.0,40,83,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1957-12-06 16:44:00+00:00,1,1957.0,1950.0,0.10864197530864197,3240,0.8181818181818182,1.0,49,26,55
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1958-02-01 03:48:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.0,1,31,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-02-05 07:33:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,1.0,49,26,55
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-03-05 18:27:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.5,1,31,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1958-03-17 12:15:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.6666666666666666,49,26,55
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1958-03-26 17:38:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.3333333333333333,1,36,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1958-04-27 09:01:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.3333333333333333,40,83,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-04-28 02:53:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.75,49,26,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1958-05-15 07:12:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.25,40,83,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-05-28 03:46:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.8,49,26,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-06-26 05:00:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.8333333333333334,49,26,55
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1958-07-26 15:00:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.25,1,36,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-08-17 12:18:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.17834394904458598,1.0,48,57,55
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-08-24 06:17:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.4,1,36,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1958-09-23 07:40:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.4,40,83,55
